id,label,timeset,weighted degree
金,金,,242.0
化学,化学,,107.0
碳,碳,,167.0
焊接,焊接,,42.0
加热,加热,,27.0
蛋白质,蛋白质,,33.0
太阳能,太阳能,,83.0
玻璃,玻璃,,105.0
不锈钢,不锈钢,,23.0
DNA,DNA,,29.0
铁,铁,,63.0
水,水,,361.0
能量,能量,,96.0
能源,能源,,305.0
分子,分子,,77.0
电子,电子,,211.0
石油,石油,,315.0
燃料,燃料,,97.0
放射性,放射性,,40.0
重金属,重金属,,28.0
蜡烛,蜡烛,,30.0
天然气,天然气,,106.0
氧气,氧气,,33.0
燃烧,燃烧,,92.0
热量,热量,,23.0
水分,水分,,39.0
煤,煤,,67.0
焚烧,焚烧,,24.0
化肥,化肥,,40.0
汽油,汽油,,104.0
乙醇,乙醇,,27.0
钻石,钻石,,26.0
沉淀,沉淀,,38.0
水泥,水泥,,109.0
原子弹,原子弹,,25.0
合成,合成,,45.0
银,银,,32.0
天然,天然,,93.0
含量,含量,,123.0
油气,油气,,47.0
成分,成分,,61.0
盐,盐,,56.0
发酵,发酵,,68.0
气体,气体,,38.0
营养,营养,,113.0
回流,回流,,31.0
糖,糖,,35.0
废气,废气,,25.0
废水,废水,,38.0
煤气,煤气,,22.0
精度,精度,,31.0
激素,激素,,33.0
钢铁,钢铁,,72.0
矿泉水,矿泉水,,45.0
食品添加剂,食品添加剂,,51.0
升华,升华,,45.0
塑料,塑料,,59.0
水污染,水污染,,35.0
铜,铜,,31.0
液体,液体,,26.0
电池,电池,,58.0
维生素,维生素,,23.0
分解,分解,,38.0
过滤,过滤,,33.0
大气污染,大气污染,,37.0
海水,海水,,80.0
添加剂,添加剂,,50.0
酸,酸,,22.0
铅,铅,,33.0
醋,醋,,24.0
核能,核能,,37.0
抗生素,抗生素,,35.0
风能,风能,,23.0
柴油,柴油,,49.0
二氧化碳,二氧化碳,,73.0
连锁反应,连锁反应,,26.0
碘,碘,,46.0
粉尘,粉尘,,28.0
空气质量,空气质量,,47.0
化工厂,化工厂,,29.0
剂量,剂量,,29.0
食用油,食用油,,32.0
PM2.5,PM2.5,,28.0
二氧化硫,二氧化硫,,26.0
